measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Cuba,Both,All Ages,Malaria,Number,2018,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Percent,2018,0,0,0
Incidence,Cuba,Both,All Ages,Malaria,Rate,2018,0,0,0
Incidence,Global,Both,All Ages,Malaria,Number,2010,263746239.7,315020881.3,227189380.5
Incidence,Global,Both,All Ages,Malaria,Percent,2010,0.007395192,0.00882607,0.006293096
Incidence,Global,Both,All Ages,Malaria,Rate,2010,3774.641305,4508.465531,3251.452687
Incidence,Global,Both,All Ages,Tuberculosis,Number,2010,8699429.714,9961164.197,7582190.335
Incidence,Global,Both,All Ages,Tuberculosis,Percent,2010,0.000243919,0.000280286,0.000210361
Incidence,Global,Both,All Ages,Tuberculosis,Rate,2010,124.5031086,142.5605987,108.5135805
Incidence,Global,Both,All Ages,Malaria,Number,2009,263586458.4,313897251.5,227803624
Incidence,Global,Both,All Ages,Malaria,Percent,2009,0.007465988,0.008905125,0.006363935
Incidence,Global,Both,All Ages,Malaria,Rate,2009,3818.16786,4546.942222,3299.837482
Incidence,Global,Both,All Ages,Tuberculosis,Number,2009,8747128.986,10022192.93,7625330.91
Incidence,Global,Both,All Ages,Tuberculosis,Percent,2009,0.000247756,0.000284651,0.000213555
Incidence,Global,Both,All Ages,Tuberculosis,Rate,2009,126.7060795,145.1759515,110.4563321
Incidence,Global,Both,All Ages,Tuberculosis,Number,2011,8648825.956,9884012.946,7545176.598
Incidence,Global,Both,All Ages,Tuberculosis,Percent,2011,0.000239658,0.000275071,0.000206709
Incidence,Global,Both,All Ages,Tuberculosis,Rate,2011,122.2984359,139.7645565,106.6923188
Incidence,Global,Both,All Ages,Malaria,Number,2011,260391286.8,309801429.4,222924898.3
Incidence,Global,Both,All Ages,Malaria,Percent,2011,0.0072156,0.008629213,0.006109841
Incidence,Global,Both,All Ages,Malaria,Rate,2011,3682.054334,4380.736813,3152.262113
Incidence,Global,Both,All Ages,Tuberculosis,Number,2012,8559803.564,9776091.874,7477229.374
Incidence,Global,Both,All Ages,Tuberculosis,Percent,2012,0.000234129,0.000268618,0.000202141
Incidence,Global,Both,All Ages,Tuberculosis,Rate,2012,119.596853,136.5907307,104.4712178
Incidence,Global,Both,All Ages,Malaria,Number,2012,251017832.3,299584234.8,212701088.6
Incidence,Global,Both,All Ages,Malaria,Percent,2012,0.006866155,0.00820726,0.005780761
Incidence,Global,Both,All Ages,Malaria,Rate,2012,3507.19997,4185.765647,2971.84166
Incidence,Global,Both,All Ages,Tuberculosis,Number,2013,8460814.438,9663208.251,7415643.937
Incidence,Global,Both,All Ages,Tuberculosis,Percent,2013,0.000228381,0.000261877,0.000197244
Incidence,Global,Both,All Ages,Tuberculosis,Rate,2013,116.8239876,133.4262238,102.3926362
Incidence,Global,Both,All Ages,Malaria,Number,2013,239167014,287573002.6,200273600.5
Incidence,Global,Both,All Ages,Malaria,Percent,2013,0.006456105,0.007815286,0.005374006
Incidence,Global,Both,All Ages,Malaria,Rate,2013,3302.335073,3970.708154,2765.308326
